===== DPKG PACKAGE INVENTORY =====
7zip	23.01+dfsg-11
libc-dev-bin	2.39-0ubuntu8.8
libc6:amd64	2.39-0ubuntu8.8
libc6:i386	2.39-0ubuntu8.8
libc6-dbg:amd64	2.39-0ubuntu8.8
libc6-dev:amd64	2.39-0ubuntu8.8
libcaca0:amd64	0.99.beta20-4ubuntu0.2
libcaca0:i386	0.99.beta20-4ubuntu0.2
libcacard0:amd64	1:2.8.0-3build4
libcairo-gobject-perl	1.005-4build3
libcairo-gobject2:amd64	1.18.0-3build1
libcairo-gobject2:i386	1.18.0-3build1
libcairo-perl	1.109-4build1
libcairo-script-interpreter2:amd64	1.18.0-3build1
libcairo2:amd64	1.18.0-3build1
libcairo2:i386	1.18.0-3build1
libcairomm-1.0-1v5:amd64	1.14.5-1build1
libcairomm-1.16-1:amd64	1.18.0-1build1
libcamel-1.2-64t64:amd64	3.52.3-0ubuntu1.2
libcanberra-gtk3-0t64:amd64	0.30-10ubuntu10
libcanberra-gtk3-module:amd64	0.30-10ubuntu10
libcanberra-pulse:amd64	0.30-10ubuntu10
libcanberra0t64:amd64	0.30-10ubuntu10
libcap-ng0:amd64	0.8.4-2build2
libcap2:amd64	1:2.66-5ubuntu2.4
libcap2:i386	1:2.66-5ubuntu2.4
libcap2-bin	1:2.66-5ubuntu2.4
libcapi20-3t64:i386	1:3.27-3.1build1
libcaribou-common	0.4.21-9build1
libcaribou0:amd64	0.4.21-9build1
libcbor0.10:amd64	0.10.2-1.2ubuntu2
libcc1-0:amd64	14.2.0-4ubuntu2~24.04.1
libcddb2	1.3.2-7fakesync1build1
libcdio-cdda2t64:amd64	10.2+2.0.1-1.1build2
libcdio-paranoia2t64:amd64	10.2+2.0.1-1.1build2
libcdio19t64:amd64	2.1.0-4.1ubuntu1.2
libcdparanoia0:amd64	3.10.2+debian-14build3
libcdparanoia0:i386	3.10.2+debian-14build3
libcdr-0.1-1:amd64	0.1.7-1build2
libcgi-fast-perl	1:2.17-1
libcgi-pm-perl	4.63-1
libchamplain-0.12-0:amd64	0.12.21-1build3
libchamplain-gtk-0.12-0:amd64	0.12.21-1build3
libchromaprint1:amd64	1.5.1-5
libcinnamon-control-center1:amd64	6.6.0+zena
libcinnamon-desktop-dbg:amd64	6.6.2+zena
libcinnamon-desktop4:amd64	6.6.2+zena
libcinnamon-menu-3-0	6.6.0+zena
libcinnamon-menu-3-0-dbg	6.6.0+zena
libcjs-dbg	115.1+zena
libcjs0:amd64	115.1+zena
libcjson1:amd64	1.7.17-1
libclone-perl:amd64	0.46-1build3
libclucene-contribs1t64:amd64	2.3.3.4+dfsg-1.2ubuntu2
libclucene-core1t64:amd64	2.3.3.4+dfsg-1.2ubuntu2
libclutter-1.0-0:amd64	1.26.4+git2779b932+dfsg-7build3
libclutter-1.0-common	1.26.4+git2779b932+dfsg-7build3
libclutter-gst-3.0-0:amd64	3.0.27-4build1
libclutter-gtk-1.0-0:amd64	1.8.4-4build5
libcodec2-1.2:amd64	1.2.0-2build1
libcodec2-1.2:i386	1.2.0-2build1
libcogl-common	1.22.8-4ubuntu4
libcogl-pango20:amd64	1.22.8-4ubuntu4
libcogl-path20:amd64	1.22.8-4ubuntu4
libcogl20:amd64	1.22.8-4ubuntu4
libcolamd3:amd64	1:7.6.1+dfsg-1build1
libcolord2:amd64	1.4.7-1build2
libcolord2:i386	1.4.7-1build2
libcolorhug2:amd64	1.4.7-1build2
libcom-err2:amd64	1.47.0-2.4~exp1ubuntu4.1
libcom-err2:i386	1.47.0-2.4~exp1ubuntu4.1
libcpdb2t64:amd64	2.0~b5-1.2build1
libcrack2:amd64	2.9.6-5.1build2
libcrypt-dev:amd64	1:4.4.36-4build1
libcrypt1:amd64	1:4.4.36-4build1
libcryptsetup12:amd64	2:2.7.0-1ubuntu4.2
libctf-nobfd0:amd64	2.42-4ubuntu2.10
libctf0:amd64	2.42-4ubuntu2.10
libcups2t64:amd64	2.4.7-1.2ubuntu7.14
libcups2t64:i386	2.4.7-1.2ubuntu7.14
libcupsfilters2-common	2.0.0-0ubuntu7.2
libcupsfilters2t64:amd64	2.0.0-0ubuntu7.2
libcupsimage2t64:amd64	2.4.7-1.2ubuntu7.14
libcurl3t64-gnutls:amd64	8.5.0-2ubuntu10.13
libcurl3t64-gnutls:i386	8.5.0-2ubuntu10.13
libcurl4t64:amd64	8.5.0-2ubuntu10.13
libcurl4t64:i386	8.5.0-2ubuntu10.13
libcvc-dbg:amd64	6.6.2+zena
libcvc0:amd64	6.6.2+zena
libcwidget4:amd64	0.5.18-6build1
libdaemon0:amd64	0.14-7.1ubuntu4
libdata-dump-perl	1.25-1
libdatrie1:amd64	0.2.13-3build1
libdatrie1:i386	0.2.13-3build1
libdav1d7:amd64	1.4.1-1build1
libdav1d7:i386	1.4.1-1build1
libdaxctl1:amd64	77-2ubuntu2
libdb5.3t64:amd64	5.3.28+dfsg2-7
libdb5.3t64:i386	5.3.28+dfsg2-7
libdbus-1-3:amd64	1.14.10-4ubuntu4.1
libdbus-1-3:i386	1.14.10-4ubuntu4.1
libdbus-glib-1-2:amd64	0.112-3build2
libdbusmenu-glib4:amd64	18.10.20180917~bzr492+repack1-3.1ubuntu5
libdbusmenu-gtk3-4:amd64	18.10.20180917~bzr492+repack1-3.1ubuntu5
libdc1394-25:amd64	2.2.6-4build1
libdca0:amd64	0.0.7-2build1
libdconf1:amd64	0.40.0-4ubuntu0.1
libde265-0:amd64	1.0.15-1ubuntu0.1
libdebconfclient0:amd64	0.271ubuntu3
libdebhelper-perl	13.14.1ubuntu5
libdebuginfod-common	0.190-1.1ubuntu0.1
libdebuginfod1t64:amd64	0.190-1.1ubuntu0.1
libdecor-0-0:amd64	0.2.2-1build2
libdecor-0-0:i386	0.2.2-1build2
libdecor-0-plugin-1-gtk:i386	0.2.2-1build2
libdee-1.0-4:amd64	1.2.7+17.10.20170616-7build5
libdeflate0:amd64	1.19-1build1.1
libdeflate0:i386	1.19-1build1.1
libdevmapper-event1.02.1:amd64	2:1.02.185-3ubuntu3.2
libdevmapper1.02.1:amd64	2:1.02.185-3ubuntu3.2
libdirectfb-1.7-7t64:amd64	1.7.7-11.1ubuntu2
libdjvulibre-text	3.5.28-2ubuntu0.24.04.2
libdjvulibre21:amd64	3.5.28-2ubuntu0.24.04.2
libdmapsharing-4.0-3t64:amd64	3.9.13-2build1
libdmraid1.0.0.rc16:amd64	1.0.0.rc16-12ubuntu2
libdotconf0:amd64	1.3-0.3fakesync1build3
libdouble-conversion3:amd64	3.3.0-1build1
libdpkg-perl	1.22.6ubuntu6.6
libdrm-amdgpu1:amd64	2.4.125-1ubuntu0.1~24.04.2
libdrm-amdgpu1:i386	2.4.125-1ubuntu0.1~24.04.2
libdrm-common	2.4.125-1ubuntu0.1~24.04.2
libdrm-intel1:amd64	2.4.125-1ubuntu0.1~24.04.2
libdrm-intel1:i386	2.4.125-1ubuntu0.1~24.04.2
libdrm-nouveau2:amd64	2.4.125-1ubuntu0.1~24.04.2
libdrm-radeon1:amd64	2.4.125-1ubuntu0.1~24.04.2
libdrm2:amd64	2.4.125-1ubuntu0.1~24.04.2
libdrm2:i386	2.4.125-1ubuntu0.1~24.04.2
libduktape207:amd64	2.7.0+tests-0ubuntu3
libduktape207:i386	2.7.0+tests-0ubuntu3
libdv4t64:amd64	1.0.0-17.1build1
libdv4t64:i386	1.0.0-17.1build1
libdvbpsi10:amd64	1.3.3-1build1
libdvd-pkg	1.4.3-1-1
libdvdcss-dev:amd64	1.4.3-1~local
libdvdcss2:amd64	1.4.3-1~local
libdvdnav4:amd64	6.1.1-3build1
libdvdread8t64:amd64	6.1.3-1.1build1
libdw1t64:amd64	0.190-1.1ubuntu0.1
libdw1t64:i386	0.190-1.1ubuntu0.1
libe-book-0.1-1:amd64	0.1.3-2build6
libebackend-1.2-11t64:amd64	3.52.3-0ubuntu1.2
libebml5:amd64	1.4.5-1
libebook-1.2-21t64:amd64	3.52.3-0ubuntu1.2
libebook-contacts-1.2-4t64:amd64	3.52.3-0ubuntu1.2
libecal-2.0-3:amd64	3.52.3-0ubuntu1.2
libecryptfs1:amd64	111-6ubuntu3
libedata-book-1.2-27t64:amd64	3.52.3-0ubuntu1.2
libedata-cal-2.0-2t64:amd64	3.52.3-0ubuntu1.2
libedataserver-1.2-27t64:amd64	3.52.3-0ubuntu1.2
libedataserverui-1.2-4t64:amd64	3.52.3-0ubuntu1.2
libedataserverui4-1.0-0t64:amd64	3.52.3-0ubuntu1.2
libedit2:amd64	3.1-20230828-1build1
libedit2:i386	3.1-20230828-1build1
libefiboot1t64:amd64	38-3.1build1
libefivar1t64:amd64	38-3.1build1
libegl-mesa0:amd64	25.2.8-0ubuntu0.24.04.2
libegl1:amd64	1.7.0-1build1
libel-api-java	3.0.0-3
libelf1t64:amd64	0.190-1.1ubuntu0.1
libelf1t64:i386	0.190-1.1ubuntu0.1
libenchant-2-2:amd64	2.3.3-2build2
libencode-locale-perl	1.05-3
libeot0:amd64	0.01-5build3
libepoxy0:amd64	1.5.10-1build1
libepoxy0:i386	1.5.10-1build1
libepubgen-0.1-1:amd64	0.1.1-1ubuntu6
liberror-perl	0.17029-2
libespeak-ng1:amd64	1.51+dfsg-12build1
libestr0:amd64	0.1.11-1build1
libetonyek-0.1-1:amd64	0.1.10-5build1
libevdev2:amd64	1.13.1+dfsg-1build1
libevdocument3-4t64:amd64	46.3.1-0ubuntu1.1
libevent-2.1-7t64:amd64	2.1.12-stable-9ubuntu2.1
libevview3-3t64:amd64	46.3.1-0ubuntu1.1
libexempi8:amd64	2.6.5-1build1
libexif12:amd64	0.6.24-1ubuntu0.24.04.1
libexif12:i386	0.6.24-1ubuntu0.24.04.1
libexiv2-27:amd64	0.27.6-1ubuntu0.3
libexo-2-0:amd64	4.18.0-1build4
libexo-common	4.18.0-1build4
libexpat1:amd64	2.6.1-2ubuntu0.4
libexpat1:i386	2.6.1-2ubuntu0.4
libexpat1-dev:amd64	2.6.1-2ubuntu0.4
libext2fs2t64:amd64	1.47.0-2.4~exp1ubuntu4.1
libexttextcat-2.0-0:amd64	3.4.7-1build1
libexttextcat-data	3.4.7-1build1
libextutils-depends-perl	0.8001-2
libfaad2:amd64	2.11.1-1build1
libfakeroot:amd64	1.33-1
libfastjson4:amd64	1.2304.0-1build1
libfbclient2:amd64	3.0.11.33703.ds4-2ubuntu2
libfcgi-perl	0.82+ds-3build2
libfcgi0t64:amd64	2.4.2-2.1ubuntu0.24.04.1
libfdisk1:amd64	2.39.3-9ubuntu6.6
libfdt1:amd64	1.7.0-2build1
libffi8:amd64	3.4.6-1build1
libffi8:i386	3.4.6-1build1
libffmpegthumbnailer4v5:amd64	2.2.2+git20240104+dfsg-1build1
libfftw3-double3:amd64	3.3.10-1ubuntu3
libfftw3-single3:amd64	3.3.10-1ubuntu3
libfido2-1:amd64	1.14.0-1build3
libfile-basedir-perl	0.09-2
libfile-desktopentry-perl	0.22-3
libfile-fcntllock-perl	0.22-4ubuntu5
libfile-listing-perl	6.16-1
libfile-mimeinfo-perl	0.34-1
libfile-stripnondeterminism-perl	1.13.1-1
libflac12t64:amd64	1.4.3+ds-2.1ubuntu2
libflac12t64:i386	1.4.3+ds-2.1ubuntu2
libflashrom1:amd64	1.3.0-2.1ubuntu2
libflatpak0:amd64	1.14.6-1ubuntu0.1
libflite1:amd64	2.2-6build3
libfluidsynth3:amd64	2.3.4-1build3
libfont-afm-perl	1.20-4
libfontconfig1:amd64	2.15.0-1.1ubuntu2
libfontconfig1:i386	2.15.0-1.1ubuntu2
libfontenc1:amd64	1:1.1.8-1build1
libfprint-2-2	1:1.94.7+tod1-0ubuntu5~24.04.8
libfprint-2-tod1:amd64	1:1.94.7+tod1-0ubuntu5~24.04.8
libfreeaptx0:amd64	0.1.1-2build1
libfreehand-0.1-1	0.1.2-3build3
libfreetype6:amd64	2.13.2+dfsg-1ubuntu0.1
libfreetype6:i386	2.13.2+dfsg-1ubuntu0.1
libfribidi0:amd64	1.0.13-3build1
libfribidi0:i386	1.0.13-3build1
libftdi1-2:amd64	1.5-6build5
libfuse2t64:amd64	2.9.9-8.1build1
libfuse3-3:amd64	3.14.0-5build1
libfwupd2:amd64	1.9.34-0ubuntu1~24.04.1
libfwupd3:amd64	2.0.20-1ubuntu2~24.04.2
libgail-3-0t64:amd64	3.24.41-4ubuntu1.3
libgail-common:amd64	2.24.33-4ubuntu1.1
libgail18t64:amd64	2.24.33-4ubuntu1.1
libgamemode0:amd64	1.8.1-2build1
libgamemodeauto0:amd64	1.8.1-2build1
libgarcon-1-0:amd64	4.18.1-1build3
libgarcon-common	4.18.1-1build3
libgarcon-gtk3-1-0:amd64	4.18.1-1build3
libgbm1:amd64	25.2.8-0ubuntu0.24.04.2
libgbm1:i386	25.2.8-0ubuntu0.24.04.2
libgcc-13-dev:amd64	13.3.0-6ubuntu2~24.04.1
libgcc-s1:amd64	14.2.0-4ubuntu2~24.04.1
libgcc-s1:i386	14.2.0-4ubuntu2~24.04.1
libgck-1-0:amd64	3.41.2-1build3
libgck-2-2:amd64	4.2.0-5
libgcr-4-4:amd64	4.2.0-5
libgcr-base-3-1:amd64	3.41.2-1build3
libgcr-ui-3-1:amd64	3.41.2-1build3
libgcrypt20:amd64	1.10.3-2ubuntu0.2
libgcrypt20:i386	1.10.3-2ubuntu0.2
libgd3:amd64	2.3.3-9ubuntu5
libgd3:i386	2.3.3-9ubuntu5
libgdata-common	0.18.1-6build2
libgdata22:amd64	0.18.1-6build2
libgdbm-compat4t64:amd64	1.23-5.1build1
libgdbm6t64:amd64	1.23-5.1build1
libgdk-pixbuf-2.0-0:amd64	2.42.10+dfsg-3ubuntu3.3
libgdk-pixbuf-2.0-0:i386	2.42.10+dfsg-3ubuntu3.3
libgdk-pixbuf2.0-bin	2.42.10+dfsg-3ubuntu3.3
libgdk-pixbuf2.0-common	2.42.10+dfsg-3ubuntu3.3
libgee-0.8-2:amd64	0.20.6-1build2
libgeoclue-2-0:amd64	2.7.0-3ubuntu7
libgeocode-glib-2-0:amd64	3.26.3-6build3
libgexiv2-2:amd64	0.14.2-2build3
libgfortran5:amd64	14.2.0-4ubuntu2~24.04.1
libgif7:amd64	5.2.2-1ubuntu1.2
libgirepository-1.0-1:amd64	1.80.1-1
libgl1:amd64	1.7.0-1build1
libgl1:i386	1.7.0-1build1
libgl1-mesa-dri:amd64	25.2.8-0ubuntu0.24.04.2
libgl1-mesa-dri:i386	25.2.8-0ubuntu0.24.04.2
libglapi-mesa:amd64	24.2.8-1ubuntu1~24.04.1
libgles2:amd64	1.7.0-1build1
libglib-object-introspection-perl	0.051-1build3
libglib-perl:amd64	3:1.329.3-3build3
libglib2.0-0t64:amd64	2.80.0-6ubuntu3.8
libglib2.0-0t64:i386	2.80.0-6ubuntu3.8
libglib2.0-bin	2.80.0-6ubuntu3.8
libglib2.0-data	2.80.0-6ubuntu3.8
libglibmm-2.4-1t64:amd64	2.66.7-1build1
libglibmm-2.68-1t64:amd64	2.78.1-2.2build2
libglu1-mesa:amd64	9.0.2-1.1build1
libglvnd0:amd64	1.7.0-1build1
libglvnd0:i386	1.7.0-1build1
libglx-mesa0:amd64	25.2.8-0ubuntu0.24.04.2
libglx-mesa0:i386	25.2.8-0ubuntu0.24.04.2
libglx0:amd64	1.7.0-1build1
libglx0:i386	1.7.0-1build1
libgme0:amd64	0.6.3-7build1
libgmp10:amd64	2:6.3.0+dfsg-2ubuntu6.1
libgmp10:i386	2:6.3.0+dfsg-2ubuntu6.1
libgnome-desktop-3-20t64:amd64	44.0-5build2
libgnomekbd-common	3.28.1-1build3
libgnomekbd8:amd64	3.28.1-1build3
libgnutls30t64:amd64	3.8.3-1.1ubuntu3.6
libgnutls30t64:i386	3.8.3-1.1ubuntu3.6
libgoa-1.0-0b:amd64	3.50.4-0ubuntu2
libgoa-1.0-common	3.50.4-0ubuntu2
libgoa-backend-1.0-2:amd64	3.50.4-0ubuntu2
libgomp1:amd64	14.2.0-4ubuntu2~24.04.1
libgomp1:i386	14.2.0-4ubuntu2~24.04.1
libgpg-error-l10n	1.47-3build2.1
libgpg-error0:amd64	1.47-3build2.1
libgpg-error0:i386	1.47-3build2.1
libgpgme11t64:amd64	1.18.0-4.1ubuntu4
libgpgmepp6t64:amd64	1.18.0-4.1ubuntu4
libgphoto2-6t64:amd64	2.5.31-2.1ubuntu1.1
libgphoto2-6t64:i386	2.5.31-2.1ubuntu1.1
libgphoto2-l10n	2.5.31-2.1ubuntu1.1
libgphoto2-port12t64:amd64	2.5.31-2.1ubuntu1.1
libgphoto2-port12t64:i386	2.5.31-2.1ubuntu1.1
libgpm2:amd64	1.20.7-11
libgpm2:i386	1.20.7-11
libgpod-common	0.8.3-19.1ubuntu4
libgpod4t64:amd64	0.8.3-19.1ubuntu4
libgprofng0:amd64	2.42-4ubuntu2.10
libgraphene-1.0-0:amd64	1.10.8-3build2
libgraphite2-3:amd64	1.3.14-2ubuntu0.24.04.1
libgraphite2-3:i386	1.3.14-2ubuntu0.24.04.1
libgrilo-0.3-0:amd64	0.3.16-1build3
libgs-common	10.02.1~dfsg1-0ubuntu7.8
libgs10:amd64	10.02.1~dfsg1-0ubuntu7.8
libgs10-common	10.02.1~dfsg1-0ubuntu7.8
libgsf-1-114:amd64	1.14.51-2ubuntu0.1
libgsf-1-common	1.14.51-2ubuntu0.1
libgsf-bin	1.14.51-2ubuntu0.1
libgsm1:amd64	1.0.22-1build1
libgsm1:i386	1.0.22-1build1
libgsound0t64:amd64	1.0.3-3.2build2
libgspell-1-2:amd64	1.12.2-1build4
libgspell-1-common	1.12.2-1build4
libgssapi-krb5-2:amd64	1.20.1-6ubuntu2.8
libgssapi-krb5-2:i386	1.20.1-6ubuntu2.8
libgssdp-1.6-0:amd64	1.6.3-1build3
libgstreamer-gl1.0-0:amd64	1.24.2-1ubuntu0.4
libgstreamer-plugins-bad1.0-0:amd64	1.24.2-1ubuntu4
libgstreamer-plugins-base1.0-0:amd64	1.24.2-1ubuntu0.4
libgstreamer-plugins-base1.0-0:i386	1.24.2-1ubuntu0.4
libgstreamer-plugins-good1.0-0:amd64	1.24.2-1ubuntu1.5
libgstreamer-plugins-good1.0-0:i386	1.24.2-1ubuntu1.5
libgstreamer1.0-0:amd64	1.24.2-1ubuntu0.1
libgstreamer1.0-0:i386	1.24.2-1ubuntu0.1
libgtk-3-0t64:amd64	3.24.41-4ubuntu1.3
libgtk-3-0t64:i386	3.24.41-4ubuntu1.3
libgtk-3-bin	3.24.41-4ubuntu1.3
libgtk-3-common	3.24.41-4ubuntu1.3
libgtk-4-1:amd64	4.14.5+ds-0ubuntu0.10
libgtk-4-common	4.14.5+ds-0ubuntu0.10
libgtk-layer-shell0	0.8.2-1build2
libgtk2.0-0t64:amd64	2.24.33-4ubuntu1.1
libgtk2.0-bin	2.24.33-4ubuntu1.1
libgtk2.0-common	2.24.33-4ubuntu1.1
libgtk3-perl	0.038-3
libgtkmm-3.0-1t64:amd64	3.24.9-1
libgtkmm-4.0-0:amd64	4.10.0-4build3
libgtksourceview-3.0-1:amd64	3.24.11-2build4
libgtksourceview-3.0-common	3.24.11-2build4
libgtksourceview-4-0:amd64	4.8.4-5build4
libgtksourceview-4-common	4.8.4-5build4
libgtop-2.0-11:amd64	2.41.3-1ubuntu0.24.04.1
libgtop2-common	2.41.3-1ubuntu0.24.04.1
libgucharmap-2-90-7:amd64	1:15.1.3-1build1
libgudev-1.0-0:amd64	1:238-5ubuntu1
libgudev-1.0-0:i386	1:238-5ubuntu1
libgupnp-1.6-0:amd64	1.6.6-1build3
libgupnp-igd-1.6-0:amd64	1.6.0-3build3
libgusb2:amd64	0.4.8-1build2
libgutenprint-common	5.3.4.20220624T01008808d602-1build4
libgutenprint9	5.3.4.20220624T01008808d602-1build4
libgweather-4-0t64:amd64	4.4.2-1build1
libgweather-4-common	4.4.2-1build1
libgxps2t64:amd64	0.3.2-4build3
libhandy-1-0:amd64	1.8.3-1build2
libharfbuzz-gobject0:amd64	8.3.0-2build2
libharfbuzz-icu0:amd64	8.3.0-2build2
libharfbuzz0b:amd64	8.3.0-2build2
libharfbuzz0b:i386	8.3.0-2build2
libheif-plugin-aomdec:amd64	1.17.6-1ubuntu4.8
libheif-plugin-aomdec:i386	1.17.6-1ubuntu4.8
libheif-plugin-aomenc:i386	1.17.6-1ubuntu4.8
libheif-plugin-libde265:amd64	1.17.6-1ubuntu4.8
libheif1:amd64	1.17.6-1ubuntu4.8
libheif1:i386	1.17.6-1ubuntu4.8
libhogweed6t64:amd64	3.9.1-2.2build1.1
libhogweed6t64:i386	3.9.1-2.2build1.1
libhpmud0:amd64	3.23.12+dfsg0-0ubuntu5.1
libhsqldb1.8.0-java	1.8.0.10+dfsg-12
libhtml-form-perl	6.11-1
libhtml-format-perl	2.16-2
libhtml-parser-perl:amd64	3.81-1ubuntu0.1
libhtml-tagset-perl	3.20-6
libhtml-tree-perl	5.07-3
libhttp-cookies-perl	6.11-1
libhttp-daemon-perl	6.16-1ubuntu0.24.04.1
libhttp-date-perl	6.06-1ubuntu0.24.04.1
libhttp-message-perl	6.45-1ubuntu1
libhttp-negotiate-perl	6.01-2
libhunspell-1.7-0:amd64	1.7.2+really1.7.2-10build3
libhwasan0:amd64	14.2.0-4ubuntu2~24.04.1
libhwy1t64:amd64	1.0.7-8.1build1
libhyphen0:amd64	2.8.8-7build3
libib-util:amd64	3.0.11.33703.ds4-2ubuntu2
libibus-1.0-5:amd64	1.5.29-2
libibverbs1:amd64	50.0-2ubuntu0.2
libical3t64:amd64	3.0.17-1.1build3
libice6:amd64	2:1.0.10-1build3
libicu74:amd64	74.2-1ubuntu3.1
libicu74:i386	74.2-1ubuntu3.1
libidn12:amd64	1.42-1ubuntu0.1
libidn2-0:amd64	2.3.7-2build1.1
libidn2-0:i386	2.3.7-2build1.1
libiec61883-0:amd64	1.2.0-6build1
libiec61883-0:i386	1.2.0-6build1
libieee1284-3t64:amd64	0.2.11-14.1build1
libigdgmm12:amd64	22.3.17+ds1-1ubuntu1
libigdgmm12:i386	22.3.17+ds1-1ubuntu1
libijs-0.35:amd64	0.35-15.1build1
libimagequant0:amd64	2.18.0-1build1
libimath-3-1-29t64:amd64	3.1.9-3.1ubuntu2
libimobiledevice-utils	1.3.0-8.1build3
libimobiledevice6:amd64	1.3.0-8.1build3
libinih1:amd64	55-1ubuntu2
libinput-bin	1.25.0-1ubuntu3.6
libinput10:amd64	1.25.0-1ubuntu3.6
libinstpatch-1.0-2:amd64	1.1.6-1build2
libio-html-perl	1.004-3
libio-socket-ssl-perl	2.085-1
libip4tc2:amd64	1.8.10-3ubuntu2
libip6tc2:amd64	1.8.10-3ubuntu2
libipc-system-simple-perl	1.30-2
libipt2	2.0.6-1build1
libiscsi7:amd64	1.19.0-3build4
libisl23:amd64	0.26-3build1.1
libisofs6t64:amd64	1.5.6.pl01-1.1ubuntu2
libitm1:amd64	14.2.0-4ubuntu2~24.04.1
libiw30t64:amd64	30~pre9-16.1ubuntu2
libixml11t64:amd64	1:1.14.18-1.1ubuntu2
libjack-jackd2-0:amd64	1.9.21~dfsg-3ubuntu3
libjack-jackd2-0:i386	1.9.21~dfsg-3ubuntu3
libjansson4:amd64	2.14-2build2
libjavascriptcoregtk-4.1-0:amd64	2.52.6-0ubuntu0.24.04.1
libjavascriptcoregtk-6.0-1:amd64	2.52.6-0ubuntu0.24.04.1
libjbig0:amd64	2.1-6.1ubuntu2
libjbig0:i386	2.1-6.1ubuntu2
libjbig2dec0:amd64	0.20-1ubuntu0.24.04.1
libjcat1:amd64	0.2.3-1~ubuntu0.24.04.1
libjpeg-turbo8:amd64	2.1.5-2ubuntu2
libjpeg-turbo8:i386	2.1.5-2ubuntu2
libjpeg8:amd64	8c-2ubuntu11
libjpeg8:i386	8c-2ubuntu11
libjs-jquery	3.6.1+dfsg+~3.5.14-1
libjs-mathjax	2.7.9+dfsg-1
libjs-sphinxdoc	7.2.6-6
libjs-underscore	1.13.4~dfsg+~1.11.4-3
libjson-c5:amd64	0.17-1build1
libjson-glib-1.0-0:amd64	1.8.0-2build2
libjson-glib-1.0-common	1.8.0-2build2
libjsp-api-java	2.3.4-3
libjxl-tools	0.7.0-10.2ubuntu6.1
libjxl0.7:amd64	0.7.0-10.2ubuntu6.1
libjxr-tools	1.2~git20170615.f752187-5.1ubuntu2
libjxr0t64:amd64	1.2~git20170615.f752187-5.1ubuntu2
libk5crypto3:amd64	1.20.1-6ubuntu2.8
libk5crypto3:i386	1.20.1-6ubuntu2.8
libkate1:amd64	0.4.1-11build2
libkeybinder-3.0-0:amd64	0.3.2-1.1build2
libkeyutils1:amd64	1.6.3-3build1
libkeyutils1:i386	1.6.3-3build1
libklibc:amd64	2.0.13-4ubuntu0.2
libkmod2:amd64	31+20240202-2ubuntu7.2
libkpathsea6:amd64	2023.20230311.66589-9build3
libkrb5-3:amd64	1.20.1-6ubuntu2.8
libkrb5-3:i386	1.20.1-6ubuntu2.8
libkrb5support0:amd64	1.20.1-6ubuntu2.8
libkrb5support0:i386	1.20.1-6ubuntu2.8
libksba8:amd64	1.6.6-1build1
liblangtag-common	0.6.7-1build2
liblangtag1:amd64	0.6.7-1build2
liblapack3:amd64	3.12.0-3build1.1
liblc3-1:amd64	1.0.4-3build1
liblcms2-2:amd64	2.14-2ubuntu0.1
liblcms2-2:i386	2.14-2ubuntu0.1
liblcms2-utils	2.14-2ubuntu0.1
libldacbt-abr2:amd64	2.0.2.3+git20200429+ed310a0-4ubuntu2
libldacbt-enc2:amd64	2.0.2.3+git20200429+ed310a0-4ubuntu2
libldap-common	2.6.10+dfsg-0ubuntu0.24.04.1
libldap2:amd64	2.6.10+dfsg-0ubuntu0.24.04.1
libldap2:i386	2.6.10+dfsg-0ubuntu0.24.04.1
libldb2:amd64	2:2.8.0+samba4.19.5+dfsg-4ubuntu9.7
liblerc4:amd64	4.0.0+ds-4ubuntu2
liblibreoffice-java	4:24.2.7-0ubuntu0.24.04.6
liblightdm-gobject-1-0:amd64	1.30.0-0ubuntu14
liblilv-0-0:amd64	0.24.22-1build1
liblirc-client0t64:amd64	0.10.2-0.8build1
libllvm19:amd64	1:19.1.1-1ubuntu1~24.04.2
libllvm20:amd64	1:20.1.2-0ubuntu1~24.04.3
libllvm20:i386	1:20.1.2-0ubuntu1~24.04.3
liblmdb0:amd64	0.9.31-1build1
liblocale-gettext-perl	1.07-6ubuntu5
liblouis-data	3.29.0-1build1
liblouis20:amd64	3.29.0-1build1
liblouisutdml-bin	2.12.0-3.1build1
liblouisutdml-data	2.12.0-3.1build1
liblouisutdml9t64:amd64	2.12.0-3.1build1
liblqr-1-0:amd64	0.4.2-2.1build2
liblrdf0:amd64	0.6.1-4build1
liblsan0:amd64	14.2.0-4ubuntu2~24.04.1
libltc11:amd64	1.3.2-1build1
libltdl-dev:amd64	2.4.7-7build1
libltdl7:amd64	2.4.7-7build1
libltdl7:i386	2.4.7-7build1
liblua5.2-0:amd64	5.2.4-3build2
liblua5.4-0:amd64	5.4.6-3build2
liblvm2cmd2.03:amd64	2.03.16-3ubuntu3.2
liblwp-mediatypes-perl	6.04-2
liblwp-protocol-https-perl	6.13-1
liblz4-1:amd64	1.9.4-1build1.1
liblz4-1:i386	1.9.4-1build1.1
liblzma5:amd64	5.6.1+really5.4.5-1ubuntu0.3
liblzma5:i386	5.6.1+really5.4.5-1ubuntu0.3
liblzo2-2:amd64	2.10-2build4
libmad0:amd64	0.15.1b-10.2ubuntu1
libmagic-mgc	1:5.45-3build1
libmagic1t64:amd64	1:5.45-3build1
libmagickcore-6.q16-7-extra:amd64	8:6.9.12.98+dfsg1-5.2build2
